Time,Xa,Ya,Za
11.0,-1.12,0.35,0.7
13.0,-1.12,0.35,0.7
55.0,0.01,-0.73,1.31
105.0,-0.88,-0.19,-0.0
158.0,-0.57,0.73,0.5
209.0,0.87,-0.71,1.21
260.0,-0.61,-0.12,1.21
312.0,-0.18,0.57,0.42
363.0,0.09,-0.47,0.59
414.0,0.68,-0.35,1.4
464.0,-0.28,0.75,0.59
516.0,0.08,0.26,0.61
566.0,-0.3,0.02,0.59
617.0,-0.35,-0.59,0.93
668.0,-0.75,0.4,0.66
719.0,0.84,-0.24,1.02
771.0,-0.93,-0.27,1.12
823.0,-1.02,0.62,0.54
874.0,0.67,-0.04,1.0
924.0,0.29,-0.66,1.37
975.0,-0.13,-0.38,1.35
1028.0,-0.59,-0.02,0.97
1081.0,0.95,-0.7,1.41
1132.0,0.53,-0.67,0.98
1184.0,0.09,-0.14,1.25
1236.0,-0.14,0.79,0.53
1289.0,0.23,-0.52,0.62
1341.0,0.5,-0.38,1.46
1392.0,-0.49,0.74,0.63
1444.0,-0.14,-0.6,0.93
1498.0,0.79,-0.67,0.99
1550.0,-0.68,0.66,0.59
1601.0,-0.17,-0.57,0.79
1654.0,-1.26,0.35,0.78
1707.0,-0.1,0.28,0.64
1759.0,0.38,-0.74,1.1
1811.0,-0.84,-0.46,0.84
1863.0,-0.76,0.45,0.88
1915.0,0.53,-0.78,1.02
1968.0,-1.59,-0.11,0.84
2021.0,-0.14,-0.47,0.64
2074.0,-0.88,-0.04,0.97
2126.0,-0.78,0.32,0.77
2179.0,0.23,-0.69,0.79
2231.0,-0.02,-0.29,1.11
2284.0,0.21,0.38,0.62
2335.0,0.66,-0.84,1.1
2386.0,-1.48,-0.55,0.66
2440.0,-0.94,0.8,0.48
2492.0,0.55,-0.27,0.91
2544.0,-0.36,-0.36,0.98
2596.0,-0.59,0.53,0.69
2649.0,0.34,0.11,0.8
2700.0,0.25,-0.5,0.63
2752.0,-1.46,0.14,0.79
2804.0,-1.31,-0.39,1.12
2856.0,0.81,-0.75,1.03
2909.0,-1.31,-0.01,0.98
2962.0,-0.79,0.3,0.7
3014.0,0.6,-0.82,1.19
3065.0,-1.34,0.13,0.87
3118.0,-1.13,0.71,0.46
3170.0,1.34,-1.0,1.17
3222.0,-0.77,-0.29,1.22
3275.0,-0.25,0.44,0.49
3326.0,0.78,-0.73,0.95
3379.0,-0.14,-0.23,1.26
3432.0,-0.37,0.71,0.52
3484.0,0.37,-0.65,1.06
3536.0,-0.58,-0.28,1.16
3589.0,-0.7,0.65,0.61
3641.0,0.21,-0.29,0.52
3693.0,0.97,-0.46,1.42
3745.0,-0.28,0.65,0.53
3796.0,-0.06,-0.01,0.44
3850.0,1.43,-0.85,1.0
3902.0,-0.5,0.3,0.99
3954.0,0.02,-0.17,0.47
4006.0,-0.17,-0.55,0.92
4059.0,-0.77,-0.19,0.97
4112.0,0.32,0.26,0.5
4163.0,-0.02,-0.51,0.68
4216.0,-1.06,0.19,0.91
4269.0,0.34,0.13,0.72
4319.0,-0.32,0.04,0.5
4371.0,-0.72,-0.4,1.23
4424.0,0.29,0.23,0.64
4475.0,0.27,0.2,0.6
4526.0,-0.64,0.4,0.82
4578.0,0.03,-0.68,1.16
4630.0,-2.0,0.29,0.84
4682.0,-0.18,0.31,0.66
4734.0,0.51,-0.83,1.39
4786.0,-1.23,-0.47,1.23
4839.0,-0.88,0.54,0.52
4891.0,0.8,-0.46,1.12
4943.0,-1.1,-0.46,1.33
4996.0,-0.91,0.68,0.57
5048.0,1.11,-0.78,1.29
5100.0,-0.76,-0.37,1.28
5153.0,-0.91,0.3,0.74
5206.0,0.49,-0.1,0.91
5257.0,0.96,-0.84,1.32
5309.0,-2.0,0.27,0.98
5361.0,0.4,-0.19,0.82
5413.0,0.71,-0.66,0.98
5466.0,-0.71,-0.11,1.13
5518.0,-0.12,0.29,0.39
5570.0,-0.06,-0.59,0.91
5623.0,-0.05,0.11,1.09
5676.0,-0.06,0.41,0.34
5727.0,-0.05,-0.58,0.69
5780.0,0.9,-0.41,1.37
5832.0,-0.43,0.71,0.49
5884.0,-0.13,0.27,0.32
5937.0,-0.06,-0.21,1.26
5989.0,-0.48,0.56,0.47
6041.0,-0.16,0.43,0.51
6093.0,0.29,-0.57,0.77
6146.0,-0.89,0.22,0.96
6198.0,0.07,0.29,0.41
6248.0,-0.02,-0.37,0.54
6301.0,-0.64,-0.42,0.95
6354.0,-0.63,0.44,0.66
6407.0,-0.66,0.24,0.44
6458.0,0.54,-0.85,0.82
6510.0,-0.35,0.5,0.59
6562.0,0.21,0.52,0.71
6614.0,-0.85,-0.37,0.51
6667.0,-1.25,0.36,0.75
6718.0,0.46,0.12,0.78
6769.0,0.02,-0.72,0.76
6821.0,-1.45,0.25,0.83
6874.0,-0.76,0.39,0.71
6925.0,0.03,-0.07,0.67
6977.0,-0.63,-0.62,0.93
7030.0,-0.32,0.11,0.73
7083.0,0.17,-0.23,0.84
7135.0,-0.3,-0.76,1.13
7187.0,-1.25,0.53,0.56
7239.0,1.65,-0.14,0.98
7291.0,-0.79,-0.33,1.24
7345.0,-0.86,0.64,0.43
7397.0,0.15,0.31,0.86
7447.0,0.5,-0.59,1.37
7499.0,-1.31,-0.16,1.04
7553.0,0.25,-0.15,0.81
7605.0,-0.03,-0.65,1.25
7657.0,-0.85,-0.27,1.21
7710.0,-1.13,0.69,0.48
7762.0,0.82,-0.61,0.98
7815.0,-0.69,0.01,1.02
7867.0,-1.11,0.7,0.57
7918.0,0.53,-0.39,0.86
7970.0,-0.1,-0.38,1.37
8024.0,-1.3,-0.02,1.14
8077.0,0.71,0.43,0.4
8128.0,-0.35,-0.12,1.2
8180.0,0.14,-0.14,1.07
8232.0,-0.72,0.82,0.66
8285.0,0.61,-0.77,1.15
8337.0,-0.56,-0.07,1.13
8389.0,-0.59,0.54,0.54
8441.0,-0.06,-0.12,0.57
8495.0,0.46,-0.67,1.14
8547.0,-1.1,0.29,0.86
8599.0,0.23,-0.23,0.78
8650.0,0.29,-0.45,0.65
8702.0,0.09,-0.18,1.24
8755.0,-0.3,0.71,0.48
8807.0,0.29,-0.69,0.9
8859.0,0.6,-0.28,1.39
8910.0,-0.3,0.7,0.51
8963.0,-0.01,-0.01,0.46
9016.0,1.29,-0.75,0.8
9068.0,-0.55,0.25,0.95
9119.0,0.18,-0.36,0.61
9171.0,0.31,-0.57,0.95
9224.0,-0.77,-0.11,1.04
9277.0,0.23,0.36,0.43
9328.0,0.21,-0.48,0.77
9379.0,-0.93,0.11,0.92
9432.0,0.26,0.26,0.63
9483.0,-0.18,-0.08,0.48
9536.0,-0.17,-0.48,1.23
