Time,Xa,Ya,Za
0.01,0.21,-0.07,0.76
0.013,0.21,-0.07,0.76
0.018,0.21,-0.07,0.76
0.026,0.17,-0.02,0.73
0.033,0.28,0.35,0.57
0.041,0.31,0.06,0.55
0.05,0.31,0.06,0.55
0.058,0.43,-0.07,0.48
0.066,0.33,0.18,0.53
0.074,0.24,0.18,0.41
0.081,0.27,0.54,0.76
0.09,0.27,0.54,0.76
0.098,0.23,-0.5,0.6
0.106,0.37,0.65,0.54
0.114,0.08,0.11,0.75
0.122,0.08,0.11,0.75
0.131,0.05,-0.05,1.16
0.139,-0.18,0.49,1.15
0.147,-0.14,0.5,1.06
0.155,-0.04,0.25,1.12
0.163,-0.04,0.25,1.12
0.173,-0.15,0.39,1.17
0.181,-0.06,0.34,1.19
0.189,-0.23,1.27,0.93
0.197,-0.46,-0.38,1.47
0.205,-0.46,-0.38,1.47
0.215,-0.13,0.07,0.85
0.223,-0.15,0.44,0.63
0.231,-0.14,0.07,0.69
0.239,-0.01,0.12,0.89
0.247,-0.01,0.12,0.89
0.256,0.07,0.44,0.7
0.264,0.11,0.16,0.6
0.272,0.13,0.18,0.6
0.28,0.11,-0.42,0.9
0.288,0.11,-0.42,0.9
0.296,0.54,-0.36,0.52
0.306,0.14,0.59,0.48
0.314,0.18,-0.02,0.8
0.322,-0.1,0.02,1.2
0.33,-0.1,0.02,1.2
0.338,-0.2,0.56,1.01
0.347,-0.2,0.34,1.22
0.355,-0.23,0.1,1.2
0.363,-0.36,0.11,1.36
0.372,-0.36,0.11,1.36
0.38,-0.28,0.01,1.3
0.389,-0.17,0.08,1.38
0.397,-0.28,0.26,1.29
0.405,-0.2,1.12,0.86
0.413,-0.2,1.12,0.86
0.421,-0.37,-0.39,1.3
0.431,-0.16,-0.14,1.18
0.439,-0.11,0.54,0.73
0.447,0.12,-0.03,0.71
0.455,0.12,-0.03,0.71
0.463,0.09,0.05,0.75
0.472,0.06,0.47,0.79
0.48,0.09,0.23,0.65
0.488,0.12,0.14,0.69
0.496,0.12,0.14,0.69
0.504,0.15,-0.49,0.91
0.513,0.37,-0.29,0.5
0.521,0.31,0.47,0.59
0.529,0.25,-0.38,0.9
0.538,0.25,-0.38,0.9
0.546,0.01,0.08,0.82
0.555,0.07,0.62,0.82
0.563,0.0,0.4,1.05
0.571,0.0,0.4,1.05
0.579,-0.13,0.31,1.16
0.587,-0.22,0.42,1.18
0.595,-0.11,0.35,1.15
0.604,-0.12,0.4,0.8
0.612,-0.12,0.4,0.8
0.62,-0.24,-0.58,1.3
0.629,-0.22,-0.03,1.24
0.637,-0.26,0.49,0.65
0.646,0.13,-0.09,0.64
