Time,Xa,Ya,Za
11.0,-0.37,0.02,0.86
13.0,-0.37,0.02,0.86
55.0,0.75,-0.09,1.08
105.0,-0.29,-0.12,0.92
157.0,-0.23,-0.07,0.79
209.0,-0.11,0.05,1.0
260.0,-0.61,-0.09,0.74
312.0,-0.25,-0.02,0.84
364.0,0.3,0.02,0.95
414.0,0.12,-0.14,0.91
464.0,-0.37,-0.02,0.79
517.0,0.43,0.1,0.96
567.0,-0.37,-0.02,0.79
619.0,-0.48,-0.05,0.81
671.0,0.48,-0.41,0.74
721.0,-0.54,-0.07,0.77
774.0,-0.13,-0.03,0.83
826.0,0.09,-0.2,1.11
877.0,-0.59,-0.04,0.82
928.0,-0.19,-0.11,0.81
980.0,-0.95,0.23,0.54
1032.0,-0.22,-0.12,0.76
1085.0,-0.11,0.06,0.9
1137.0,-0.34,0.1,0.5
1188.0,-0.45,-0.07,0.79
1242.0,-0.23,-0.09,0.82
1295.0,-0.94,-0.16,0.68
1348.0,-0.32,0.05,0.88
1399.0,-0.12,-0.07,0.86
1453.0,-0.51,0.02,0.84
1505.0,-0.45,-0.04,0.79
1558.0,-0.2,0.04,0.9
1610.0,-0.76,-0.02,0.74
1662.0,-0.16,-0.09,0.88
1716.0,-0.11,-0.06,0.85
1769.0,0.11,-0.08,0.92
1821.0,-0.12,-0.02,0.86
1874.0,-0.32,0.05,0.64
1926.0,-0.06,0.12,0.9
1978.0,-0.09,-0.12,0.84
2031.0,-0.36,-0.11,0.8
2084.0,0.29,-0.05,0.82
2137.0,-0.19,0.0,0.89
2188.0,-1.02,-0.15,0.62
2241.0,-0.16,-0.15,0.85
2294.0,-0.3,-0.07,0.81
2348.0,0.39,0.05,0.91
2398.0,0.1,-0.02,0.93
2450.0,-0.33,-0.08,0.8
2503.0,0.2,-0.14,0.85
2555.0,-0.11,-0.05,0.91
2609.0,-0.4,-0.08,0.78
2661.0,0.19,-0.07,1.02
2713.0,-0.55,0.04,0.79
2765.0,-0.41,-0.06,0.85
2819.0,-0.58,0.08,0.52
2871.0,-0.15,-0.11,0.91
2923.0,-0.16,-0.12,0.8
2976.0,-0.25,-0.12,0.96
3030.0,-0.5,-0.07,0.83
3083.0,-0.3,0.01,0.9
3135.0,-0.74,0.05,0.75
3186.0,-0.27,-0.11,0.78
3239.0,0.69,0.16,0.9
3291.0,-0.33,-0.02,0.75
3344.0,-0.43,-0.12,0.79
3396.0,0.7,-0.4,0.98
3448.0,-0.6,-0.07,0.71
3502.0,-0.2,-0.03,0.84
3555.0,-1.27,0.07,0.72
3607.0,0.06,0.0,0.79
3657.0,-0.21,-0.09,0.85
3710.0,-0.92,0.11,0.62
3763.0,-0.44,-0.18,0.75
3816.0,-0.09,0.11,0.93
3868.0,-1.03,-0.07,0.82
3920.0,0.0,0.05,0.99
3972.0,-0.13,-0.1,0.87
4025.0,-1.02,-0.06,0.8
4078.0,-0.23,-0.04,0.83
4130.0,-0.16,-0.04,0.9
4184.0,0.21,-0.18,1.24
4236.0,-0.5,-0.04,0.75
4289.0,-1.37,0.03,0.63
4341.0,-0.1,-0.08,1.07
4393.0,-0.49,-0.18,0.74
4447.0,-0.31,-0.07,0.79
4500.0,0.05,-0.16,0.95
4552.0,-0.44,-0.0,0.82
4605.0,-0.97,-0.05,0.79
4658.0,0.12,-0.15,0.91
4710.0,-0.22,-0.02,0.84
4763.0,0.39,0.03,0.87
4814.0,-0.04,-0.06,0.85
4868.0,-0.44,-0.07,0.8
4920.0,-0.24,-0.07,1.12
4973.0,-0.62,-0.07,0.74
5026.0,-0.18,-0.11,0.81
5080.0,0.27,-0.24,1.29
5132.0,-0.44,-0.02,0.87
5184.0,-0.25,-0.06,0.86
5237.0,-0.12,0.09,0.72
5289.0,-0.66,-0.17,0.7
5343.0,-0.14,-0.05,0.87
5395.0,-0.48,0.02,0.86
5447.0,-0.43,-0.04,0.79
5500.0,-0.21,0.07,0.9
5553.0,-0.71,-0.08,0.66
5606.0,-0.14,-0.09,0.86
5658.0,-0.1,-0.07,0.83
5711.0,0.04,-0.25,1.32
5764.0,-0.34,-0.03,0.75
5817.0,-0.08,-0.07,0.59
5870.0,-0.07,0.13,0.85
5921.0,-0.24,-0.16,0.8
5975.0,-0.28,-0.11,0.79
6028.0,0.22,-0.09,0.88
6080.0,-0.25,0.01,0.86
6132.0,-0.91,-0.14,0.77
6184.0,-0.2,-0.12,0.85
6238.0,-0.12,-0.02,0.86
6291.0,-0.94,0.13,0.82
6343.0,0.05,-0.01,0.93
6395.0,-0.3,-0.02,0.86
6448.0,-1.07,-0.02,0.69
6501.0,0.09,-0.08,0.82
6553.0,-0.23,0.06,0.87
6605.0,0.16,-0.32,1.11
6657.0,-0.45,0.02,0.83
6709.0,-0.36,-0.11,0.78
6762.0,0.68,0.04,0.9
6813.0,-0.57,-0.16,0.71
6866.0,-0.39,-0.02,0.83
6919.0,-0.07,0.08,0.97
6971.0,-0.26,0.05,0.92
7023.0,-0.41,-0.17,0.75
7076.0,0.07,-0.45,1.31
7129.0,-0.29,-0.02,0.76
7181.0,-0.33,0.03,0.84
7233.0,-0.36,-0.13,0.72
7286.0,-0.04,0.0,0.93
7339.0,-0.21,-0.18,0.8
7391.0,0.02,-0.14,1.12
7443.0,-0.46,-0.11,0.71
7496.0,-1.17,0.0,0.65
7548.0,-0.07,0.04,0.8
7601.0,-0.15,-0.07,0.86
7653.0,-0.31,-0.11,0.8
7706.0,0.2,-0.07,0.98
7758.0,-0.28,-0.09,0.8
7812.0,-1.04,-0.03,0.71
7865.0,0.06,0.0,0.9
7915.0,-0.13,-0.06,0.88
7968.0,-0.81,-0.13,0.76
8022.0,-0.33,-0.02,0.83
8075.0,-0.08,-0.0,0.9
8128.0,-0.38,-0.01,0.93
8180.0,-0.53,-0.07,0.76
8233.0,-0.4,0.11,0.47
8286.0,0.0,0.01,0.89
8337.0,-0.25,-0.14,0.79
8389.0,-0.1,-0.02,0.85
8442.0,-0.47,-0.2,0.71
8496.0,-1.02,0.13,0.92
8548.0,0.09,-0.13,0.87
8600.0,-0.39,-0.07,0.86
8652.0,-0.51,-0.12,0.86
8706.0,-0.35,-0.09,0.86
8759.0,0.04,-0.38,1.41
8811.0,-0.19,-0.08,0.74
8864.0,0.35,0.03,1.07
8914.0,-0.8,-0.07,0.84
8968.0,-0.29,-0.01,0.88
9021.0,0.05,-0.61,1.53
9073.0,-0.4,-0.14,0.78
9126.0,0.46,0.26,0.94
9177.0,-0.58,-0.18,0.71
9230.0,-0.44,-0.06,0.75
9283.0,0.07,0.15,0.7
9334.0,-0.19,-0.15,0.93
9387.0,0.83,-0.23,1.02
9439.0,-0.83,-0.21,0.96
9492.0,-0.01,-0.01,0.93
9545.0,0.34,-0.45,1.14
9597.0,-0.66,-0.02,0.81
9650.0,0.94,-0.09,1.04
9702.0,-0.3,0.07,0.81
9754.0,0.03,-0.07,0.95
9806.0,0.2,-0.39,1.01
9859.0,-0.7,0.06,0.79
9910.0,0.46,-0.21,1.02
9962.0,-0.93,-0.37,1.11
10015.0,0.07,-0.07,0.83
10068.0,-0.1,0.18,0.57
10121.0,-0.03,-0.17,0.87
10175.0,-0.11,-0.04,0.79
10229.0,-0.79,-0.09,0.81
10284.0,-0.2,-0.11,0.76
10338.0,0.05,-0.03,0.92
10391.0,-0.02,-0.13,0.87
10444.0,0.63,0.21,0.76
10497.0,0.31,0.19,0.7
10549.0,-0.32,0.01,0.91
10602.0,0.26,-0.32,1.08
10655.0,-0.72,-0.02,0.9
10708.0,0.41,-0.4,1.24
10762.0,-0.64,0.07,0.86
10815.0,-0.05,-0.04,0.95
10869.0,-0.3,0.51,0.47
10923.0,0.11,-0.21,0.94
10975.0,-0.43,0.46,0.3
11028.0,0.12,-0.05,0.94
11081.0,-0.39,0.02,0.84
11134.0,0.21,0.15,0.73
11186.0,-0.52,-0.03,0.89
11240.0,-0.04,0.34,0.54
11293.0,-0.19,-0.11,0.85
11347.0,-0.4,-0.12,0.8
11402.0,-0.44,0.04,0.61
11455.0,-0.43,-0.02,0.74
11508.0,-0.6,-0.04,0.66
11563.0,-0.43,0.02,0.9
11616.0,-0.7,-0.21,0.68
11670.0,-0.54,-0.01,0.8
11724.0,0.56,-0.41,0.96
11777.0,-0.56,-0.07,1.05
11831.0,0.04,-0.18,0.8
11884.0,-0.55,-0.22,1.18
11938.0,-0.17,0.06,0.79
11992.0,0.29,-0.1,0.97
12044.0,0.22,0.29,0.69
12096.0,-0.07,-0.09,0.89
12150.0,-0.29,0.04,0.95
12204.0,-0.37,-0.14,0.83
12258.0,-0.98,-0.06,0.68
12311.0,-0.21,-0.05,0.62
12365.0,-1.2,0.08,0.81
12419.0,0.28,0.29,0.59
12471.0,-0.52,-0.21,0.89
12525.0,-0.81,-0.11,0.72
12578.0,-0.22,-0.29,0.98
12633.0,-0.46,-0.22,0.97
12687.0,-0.8,-0.34,0.9
12741.0,-0.23,0.02,0.77
12794.0,-0.89,-0.48,1.07
12848.0,-0.25,0.09,0.89
12901.0,-0.94,-0.16,0.99
12955.0,-0.17,0.05,0.94
13008.0,0.07,-0.04,1.3
13062.0,-0.71,-0.39,1.01
13115.0,-0.08,-0.03,0.77
13169.0,0.01,-0.24,1.26
13222.0,-0.44,-0.2,1.0
13277.0,0.4,-0.03,1.28
13330.0,-0.75,-0.34,1.02
13384.0,-0.11,-0.09,0.9
13437.0,-0.31,0.48,0.36
13491.0,0.21,-0.08,0.85
13544.0,-0.69,0.61,0.35
13597.0,0.18,0.07,0.75
13648.0,-0.32,-0.01,0.95
13703.0,0.03,0.24,0.55
13755.0,-0.32,-0.11,0.89
13809.0,-0.16,0.41,0.5
13862.0,0.33,0.24,0.57
13914.0,-0.52,-0.02,0.88
13968.0,-0.57,-0.11,0.83
14022.0,-0.43,-0.02,0.8
14076.0,-0.59,-0.26,0.72
14131.0,-0.53,-0.09,0.96
14185.0,-0.93,-0.23,0.68
14238.0,-0.21,0.07,0.59
14291.0,-0.23,-0.11,0.73
14346.0,-0.39,-0.56,1.22
14400.0,-0.73,0.05,0.79
14453.0,-0.01,-0.8,1.47
14507.0,-0.69,-0.1,0.84
14561.0,-0.21,-0.11,0.77
14615.0,-0.66,-0.3,0.97
14669.0,-0.15,-0.13,0.75
14724.0,-0.27,-0.16,0.87
14777.0,-0.2,-0.01,0.95
