Time_ms,Time_sec,Xa,Ya,Za
11,0.01,-0.06,-0.3,0.83
13,0.01,-0.07,-0.32,0.82
57,0.06,-0.07,-0.32,0.81
108,0.11,-0.07,-0.32,0.82
160,0.16,-0.08,-0.32,0.81
212,0.21,-0.07,-0.31,0.82
264,0.26,-0.07,-0.31,0.82
316,0.32,-0.07,-0.32,0.82
368,0.37,-0.07,-0.31,0.81
420,0.42,-0.06,-0.32,0.81
473,0.47,-0.08,-0.33,0.82
524,0.52,-0.08,-0.32,0.8
576,0.58,-0.08,-0.31,0.82
628,0.63,-0.07,-0.3,0.78
680,0.68,-0.07,-0.31,0.82
732,0.73,-0.07,-0.31,0.82
784,0.78,-0.07,-0.31,0.82
836,0.84,-0.07,-0.32,0.81
888,0.89,-0.08,-0.32,0.82
941,0.94,-0.07,-0.32,0.81
992,0.99,-0.07,-0.32,0.81
1044,1.04,-0.07,-0.32,0.81
1097,1.1,-0.08,-0.32,0.81
1150,1.15,-0.07,-0.31,0.82
1204,1.2,-0.07,-0.31,0.82
1256,1.26,-0.07,-0.3,0.82
1309,1.31,-0.07,-0.31,0.82
1362,1.36,-0.07,-0.31,0.82
1416,1.42,-0.07,-0.32,0.81
1469,1.47,-0.07,-0.32,0.82
1521,1.52,-0.07,-0.32,0.82
1574,1.57,-0.07,-0.32,0.81
1628,1.63,-0.07,-0.32,0.82
1681,1.68,-0.07,-0.31,0.81
1733,1.73,-0.08,-0.31,0.81
1786,1.79,-0.07,-0.32,0.81
1840,1.84,-0.07,-0.31,0.82
1893,1.89,-0.07,-0.31,0.81
1946,1.95,-0.08,-0.31,0.8
1998,2,-0.07,-0.32,0.81
2052,2.05,-0.07,-0.32,0.81
2105,2.11,-0.07,-0.32,0.82
2158,2.16,-0.07,-0.32,0.82
2211,2.21,-0.07,-0.32,0.82
2264,2.26,-0.07,-0.31,0.81
2317,2.32,-0.07,-0.31,0.81
2370,2.37,-0.08,-0.31,0.81
2423,2.42,-0.07,-0.31,0.82
2477,2.48,-0.07,-0.31,0.82
2529,2.53,-0.07,-0.31,0.81
2582,2.58,-0.07,-0.3,0.81
2635,2.64,-0.07,-0.31,0.81
2689,2.69,-0.09,-0.31,0.81
2742,2.74,-0.07,-0.28,0.8
2794,2.79,-0.07,-0.3,0.82
2847,2.85,-0.08,-0.3,0.81
2900,2.9,-0.07,-0.29,0.81
2954,2.95,-0.07,-0.31,0.81
3007,3.01,-0.07,-0.34,0.81
3059,3.06,-0.07,-0.33,0.82
3112,3.11,-0.08,-0.34,0.81
3166,3.17,-0.06,-0.35,0.82
3219,3.22,-0.06,-0.32,0.82
3272,3.27,-0.09,-0.3,0.81
3324,3.32,-0.05,-0.29,0.83
3378,3.38,-0.05,-0.29,0.81
3431,3.43,-0.09,-0.32,0.85
3484,3.48,-0.1,-0.31,0.78
3537,3.54,-0.08,-0.29,0.8
3590,3.59,-0.05,-0.32,0.83
3643,3.64,-0.1,-0.28,0.81
3696,3.7,-0.04,-0.29,0.84
3749,3.75,-0.09,-0.29,0.79
3803,3.8,-0.07,-0.33,0.8
3855,3.86,-0.12,-0.34,0.8
3908,3.91,-0.05,-0.35,0.82
3961,3.96,-0.08,-0.34,0.81
4015,4.02,-0.13,-0.32,0.82
4068,4.07,-0.08,-0.3,0.82
4120,4.12,-0.14,-0.28,0.78
4173,4.17,-0.04,-0.36,0.8
4227,4.23,-0.05,-0.39,0.82
4280,4.28,-0.07,-0.38,0.83
4333,4.33,0.03,-0.38,0.89
4384,4.38,-0.11,-0.34,0.83
4438,4.44,-0.09,-0.33,0.85
4491,4.49,-0.07,-0.29,0.82
4544,4.54,-0.02,-0.27,0.82
4597,4.6,-0.12,-0.34,0.81
4649,4.65,-0.07,-0.29,0.83
4703,4.7,-0.07,-0.29,0.79
4756,4.76,-0.04,-0.31,0.81
4809,4.81,-0.2,-0.35,0.73
4861,4.86,-0.14,-0.31,0.77
4915,4.92,0,-0.3,0.81
4967,4.97,-0.11,-0.25,0.8
5020,5.02,-0.07,-0.3,0.84
5073,5.07,-0.05,-0.28,0.82
5126,5.13,-0.09,-0.27,0.78
5179,5.18,-0.16,-0.32,0.81
5232,5.23,0.07,-0.3,0.81
5284,5.28,-0.15,-0.32,0.76
5338,5.34,-0.04,-0.34,0.8
5390,5.39,-0.02,-0.34,0.86
5443,5.44,0.06,-0.41,0.85
5495,5.5,-0.07,-0.28,0.85
5549,5.55,-0.08,-0.32,0.81
5602,5.6,-0.06,-0.26,0.89
5654,5.65,-0.19,-0.31,0.79
5707,5.71,-0.17,-0.41,0.74
5761,5.76,-0.12,-0.3,0.77
5814,5.81,-0.11,-0.3,0.81
5867,5.87,-0.11,-0.32,0.84
5919,5.92,0.03,-0.34,0.91
5971,5.97,-0.2,-0.31,0.75
6025,6.03,-0.12,-0.27,0.79
6078,6.08,-0.2,-0.3,0.73
6131,6.13,-0.14,-0.32,0.77
6183,6.18,0.11,-0.3,0.84
