Time,Xa,Ya,Za
11.0,-0.06,-0.3,0.83
13.0,-0.07,-0.32,0.82
57.0,-0.07,-0.32,0.81
108.0,-0.07,-0.32,0.82
160.0,-0.08,-0.32,0.81
212.0,-0.07,-0.31,0.82
264.0,-0.07,-0.31,0.82
316.0,-0.07,-0.32,0.82
368.0,-0.07,-0.31,0.81
420.0,-0.06,-0.32,0.81
473.0,-0.08,-0.33,0.82
524.0,-0.08,-0.32,0.8
576.0,-0.08,-0.31,0.82
628.0,-0.07,-0.3,0.78
680.0,-0.07,-0.31,0.82
732.0,-0.07,-0.31,0.82
784.0,-0.07,-0.31,0.82
836.0,-0.07,-0.32,0.81
888.0,-0.08,-0.32,0.82
941.0,-0.07,-0.32,0.81
992.0,-0.07,-0.32,0.81
1044.0,-0.07,-0.32,0.81
1097.0,-0.08,-0.32,0.81
1150.0,-0.07,-0.31,0.82
1204.0,-0.07,-0.31,0.82
1256.0,-0.07,-0.3,0.82
1309.0,-0.07,-0.31,0.82
1362.0,-0.07,-0.31,0.82
1416.0,-0.07,-0.32,0.81
1469.0,-0.07,-0.32,0.82
1521.0,-0.07,-0.32,0.82
1574.0,-0.07,-0.32,0.81
1628.0,-0.07,-0.32,0.82
1681.0,-0.07,-0.31,0.81
1733.0,-0.08,-0.31,0.81
1786.0,-0.07,-0.32,0.81
1840.0,-0.07,-0.31,0.82
1893.0,-0.07,-0.31,0.81
1946.0,-0.08,-0.31,0.8
1998.0,-0.07,-0.32,0.81
2052.0,-0.07,-0.32,0.81
2105.0,-0.07,-0.32,0.82
2158.0,-0.07,-0.32,0.82
2211.0,-0.07,-0.32,0.82
2264.0,-0.07,-0.31,0.81
2317.0,-0.07,-0.31,0.81
2370.0,-0.08,-0.31,0.81
2423.0,-0.07,-0.31,0.82
2477.0,-0.07,-0.31,0.82
2529.0,-0.07,-0.31,0.81
2582.0,-0.07,-0.3,0.81
2635.0,-0.07,-0.31,0.81
2689.0,-0.09,-0.31,0.81
2742.0,-0.07,-0.28,0.8
2794.0,-0.07,-0.3,0.82
2847.0,-0.08,-0.3,0.81
2900.0,-0.07,-0.29,0.81
2954.0,-0.07,-0.31,0.81
3007.0,-0.07,-0.34,0.81
3059.0,-0.07,-0.33,0.82
3112.0,-0.08,-0.34,0.81
3166.0,-0.06,-0.35,0.82
3219.0,-0.06,-0.32,0.82
3272.0,-0.09,-0.3,0.81
3324.0,-0.05,-0.29,0.83
3378.0,-0.05,-0.29,0.81
3431.0,-0.09,-0.32,0.85
3484.0,-0.1,-0.31,0.78
3537.0,-0.08,-0.29,0.8
3590.0,-0.05,-0.32,0.83
3643.0,-0.1,-0.28,0.81
3696.0,-0.04,-0.29,0.84
3749.0,-0.09,-0.29,0.79
3803.0,-0.07,-0.33,0.8
3855.0,-0.12,-0.34,0.8
3908.0,-0.05,-0.35,0.82
3961.0,-0.08,-0.34,0.81
4015.0,-0.13,-0.32,0.82
4068.0,-0.08,-0.3,0.82
4120.0,-0.14,-0.28,0.78
4173.0,-0.04,-0.36,0.8
4227.0,-0.05,-0.39,0.82
4280.0,-0.07,-0.38,0.83
4333.0,0.03,-0.38,0.89
4384.0,-0.11,-0.34,0.83
4438.0,-0.09,-0.33,0.85
4491.0,-0.07,-0.29,0.82
4544.0,-0.02,-0.27,0.82
4597.0,-0.12,-0.34,0.81
4649.0,-0.07,-0.29,0.83
4703.0,-0.07,-0.29,0.79
4756.0,-0.04,-0.31,0.81
4809.0,-0.2,-0.35,0.73
4861.0,-0.14,-0.31,0.77
4915.0,0.0,-0.3,0.81
4967.0,-0.11,-0.25,0.8
5020.0,-0.07,-0.3,0.84
5073.0,-0.05,-0.28,0.82
5126.0,-0.09,-0.27,0.78
5179.0,-0.16,-0.32,0.81
5232.0,0.07,-0.3,0.81
5284.0,-0.15,-0.32,0.76
5338.0,-0.04,-0.34,0.8
5390.0,-0.02,-0.34,0.86
5443.0,0.06,-0.41,0.85
5495.0,-0.07,-0.28,0.85
5549.0,-0.08,-0.32,0.81
5602.0,-0.06,-0.26,0.89
5654.0,-0.19,-0.31,0.79
5707.0,-0.17,-0.41,0.74
5761.0,-0.12,-0.3,0.77
5814.0,-0.11,-0.3,0.81
5867.0,-0.11,-0.32,0.84
5919.0,0.03,-0.34,0.91
5971.0,-0.2,-0.31,0.75
6025.0,-0.12,-0.27,0.79
6078.0,-0.2,-0.3,0.73
6131.0,-0.14,-0.32,0.77
6183.0,0.11,-0.3,0.84
6236.0,0.05,-0.29,0.81
6288.0,-0.06,-0.35,0.83
6341.0,-0.05,-0.31,0.82
6394.0,-0.08,-0.33,0.87
6447.0,-0.1,-0.37,0.82
6500.0,-0.08,-0.32,0.84
6553.0,-0.04,-0.37,0.88
6606.0,-0.1,-0.42,0.76
6659.0,0.07,-0.4,0.82
6711.0,0.17,-0.38,0.81
6763.0,0.08,-0.44,0.79
6815.0,-0.2,-0.3,0.74
6868.0,-0.14,-0.18,0.84
6921.0,-0.21,-0.18,0.75
6974.0,-0.2,-0.16,0.82
7027.0,0.01,-0.14,0.83
7079.0,0.04,-0.21,0.85
7132.0,-0.09,-0.29,0.75
7184.0,-0.09,-0.49,0.8
7237.0,-0.33,-0.57,0.62
7290.0,-0.34,-0.35,0.81
7344.0,-0.11,-0.2,0.77
7397.0,0.02,-0.24,0.77
