Time,Xa,Ya,Za
0.013,-0.1,1.07,-0.04
0.057,-0.1,1.05,-0.03
0.108,-0.1,1.05,-0.03
0.16,-0.12,1.05,-0.04
0.212,-0.12,1.06,-0.04
0.264,-0.12,1.06,-0.04
0.316,-0.08,1.04,-0.04
0.368,-0.1,1.06,-0.04
0.42,-0.08,1.07,-0.05
0.473,-0.12,1.06,-0.04
0.524,-0.1,1.04,-0.04
0.576,-0.11,1.05,-0.03
0.628,-0.09,1.05,-0.04
0.68,-0.11,1.05,-0.04
0.732,-0.11,1.06,-0.04
0.784,-0.1,1.05,-0.04
0.836,-0.11,1.06,-0.04
0.888,-0.1,1.05,-0.04
0.941,-0.1,1.05,-0.03
0.992,-0.09,1.05,-0.04
1.044,-0.12,1.07,-0.03
1.097,-0.09,1.05,-0.03
1.15,-0.11,1.07,-0.04
1.204,-0.1,1.06,-0.04
1.256,-0.11,1.06,-0.03
1.309,-0.1,1.05,-0.04
1.362,-0.1,1.05,-0.04
1.416,-0.08,1.05,-0.04
1.468,-0.11,1.06,-0.04
1.521,-0.11,1.07,-0.04
1.574,-0.1,1.05,-0.04
1.628,-0.08,1.05,-0.04
1.681,-0.09,1.06,-0.04
1.733,-0.1,1.05,-0.03
1.786,-0.11,1.04,-0.02
1.84,-0.11,1.04,-0.04
1.893,-0.09,1.06,-0.04
1.946,-0.11,1.06,-0.04
1.998,-0.09,1.04,-0.04
2.052,-0.12,1.05,-0.03
2.105,-0.09,1.05,-0.03
2.158,-0.12,1.08,-0.04
2.211,-0.09,1.05,-0.04
2.264,-0.13,1.06,-0.02
2.317,-0.1,1.07,-0.04
2.37,-0.11,1.06,-0.04
2.423,-0.11,1.05,-0.03
2.477,-0.09,1.05,-0.03
2.529,-0.12,1.05,-0.03
2.582,-0.1,1.05,-0.05
2.635,-0.1,1.06,-0.04
2.689,-0.11,1.06,-0.04
2.742,-0.09,1.04,-0.04
2.794,-0.11,1.07,-0.04
2.847,-0.11,1.07,-0.04
2.9,-0.09,1.06,-0.04
2.954,-0.11,1.07,-0.03
3.007,-0.11,1.06,-0.04
3.059,-0.12,1.06,-0.04
3.112,-0.1,1.05,-0.04
3.166,-0.08,1.05,-0.04
3.219,-0.09,1.07,-0.04
3.272,-0.11,1.05,-0.04
3.324,-0.1,1.05,-0.03
3.378,-0.09,1.07,-0.04
3.431,-0.09,1.05,-0.03
3.484,-0.09,1.05,-0.04
3.537,-0.1,1.05,-0.04
3.59,-0.1,1.05,-0.04
3.643,-0.09,1.06,-0.04
3.696,-0.11,1.07,-0.03
3.749,-0.12,1.07,-0.03
3.803,-0.12,1.07,-0.04
3.855,-0.09,1.06,-0.04
3.908,-0.09,1.05,-0.03
3.961,-0.11,1.05,-0.04
4.015,-0.13,1.07,-0.04
4.068,-0.09,1.06,-0.03
4.12,-0.12,1.06,-0.03
4.173,-0.1,1.06,-0.03
4.227,-0.1,1.06,-0.04
4.28,-0.12,1.05,-0.04
4.333,-0.11,1.06,-0.05
4.385,-0.1,1.06,-0.03
4.439,-0.12,1.07,-0.05
4.492,-0.11,1.05,-0.03
4.545,-0.1,1.05,-0.03
4.598,-0.07,1.04,-0.04
4.651,-0.12,1.05,-0.02
4.704,-0.11,1.04,-0.04
4.757,-0.1,1.05,-0.04
4.81,-0.11,1.06,-0.04
4.862,-0.11,1.07,-0.04
4.916,-0.1,1.06,-0.04
4.969,-0.11,1.06,-0.04
5.022,-0.09,1.05,-0.04
5.075,-0.11,1.07,-0.04
5.128,-0.09,1.06,-0.03
5.181,-0.1,1.05,-0.04
5.234,-0.09,1.05,-0.03
5.287,-0.11,1.07,-0.04
5.341,-0.11,1.04,-0.04
5.393,-0.1,1.06,-0.04
5.446,-0.09,1.05,-0.03
5.499,-0.07,1.05,-0.04
5.553,-0.11,1.06,-0.04
5.606,-0.09,1.07,-0.04
5.658,-0.11,1.06,-0.04
5.711,-0.09,1.05,-0.04
5.765,-0.11,1.06,-0.04
5.818,-0.09,1.04,-0.04
5.871,-0.11,1.05,-0.03
5.923,-0.1,1.05,-0.03
5.977,-0.07,1.05,-0.04
6.03,-0.11,1.06,-0.04
6.083,-0.1,1.04,-0.03
6.136,-0.11,1.07,-0.04
6.189,-0.12,1.06,-0.03
6.242,-0.07,1.04,-0.04
6.295,-0.08,1.07,-0.04
6.348,-0.12,1.05,-0.03
6.402,-0.09,1.06,-0.04
6.454,-0.11,1.04,-0.03
6.507,-0.09,1.05,-0.04
6.56,-0.11,1.04,-0.04
6.614,-0.11,1.05,-0.03
6.667,-0.12,1.07,-0.04
6.719,-0.11,1.05,-0.04
6.772,-0.11,1.06,-0.04
6.825,-0.11,1.06,-0.04
6.879,-0.11,1.06,-0.04
6.932,-0.13,1.05,-0.04
6.984,-0.11,1.06,-0.04
7.037,-0.1,1.07,-0.04
7.091,-0.08,1.06,-0.04
7.144,-0.11,1.05,-0.04
7.197,-0.09,1.04,-0.05
7.249,-0.12,1.08,-0.03
7.303,-0.1,1.05,-0.05
7.356,-0.12,1.06,-0.03
7.409,-0.12,1.05,-0.02
7.462,-0.1,1.06,-0.05
7.515,-0.09,1.06,-0.03
7.568,-0.12,1.07,-0.04
7.621,-0.12,1.05,-0.03
7.674,-0.11,1.05,-0.03
7.728,-0.11,1.06,-0.04
7.78,-0.11,1.06,-0.03
7.833,-0.11,1.05,-0.04
7.886,-0.1,1.04,-0.03
7.94,-0.13,1.05,-0.03
7.993,-0.1,1.06,-0.04
8.045,-0.12,1.05,-0.04
8.098,-0.1,1.07,-0.04
8.152,-0.12,1.05,-0.04
8.205,-0.09,1.05,-0.04
8.257,-0.1,1.05,-0.04
8.31,-0.1,1.06,-0.04
8.364,-0.13,1.07,-0.04
8.417,-0.12,1.07,-0.03
8.47,-0.09,1.06,-0.04
8.522,-0.1,1.06,-0.04
8.576,-0.1,1.05,-0.04
8.629,-0.1,1.05,-0.04
8.682,-0.12,1.07,-0.04
8.735,-0.11,1.06,-0.04
8.787,-0.1,1.05,-0.05
8.841,-0.09,1.06,-0.03
8.894,-0.11,1.07,-0.04
8.947,-0.12,1.06,-0.04
9,-0.11,1.05,-0.04
9.053,-0.11,1.05,-0.03
9.106,-0.11,1.03,-0.03
9.159,-0.11,1.06,-0.04
9.212,-0.11,1.05,-0.04
9.266,-0.1,1.05,-0.04
9.318,-0.09,1.06,-0.03
9.371,-0.07,1.07,-0.05
9.424,-0.1,1.05,-0.04
9.478,-0.1,1.05,-0.03
9.531,-0.12,1.04,-0.03
9.583,-0.11,1.04,-0.02
9.636,-0.11,1.05,-0.04
9.69,-0.11,1.07,-0.04
9.743,-0.1,1.05,-0.03
9.796,-0.09,1.06,-0.04
9.848,-0.11,1.04,-0.03
9.902,-0.11,1.06,-0.04
9.955,-0.1,1.06,-0.03
10.008,-0.11,1.04,-0.04
10.062,-0.1,1.04,-0.04
10.116,-0.11,1.05,-0.03
10.17,-0.09,1.06,-0.04
10.224,-0.09,1.05,-0.03
10.278,-0.09,1.05,-0.04
10.333,-0.11,1.05,-0.04
10.386,-0.09,1.06,-0.04
