Time,Xa,Ya,Za
13.0,-0.12,1.06,-0.03
57.0,-0.11,1.05,-0.04
108.0,-0.11,1.04,-0.04
160.0,-0.08,1.06,-0.05
212.0,-0.08,1.06,-0.03
264.0,-0.1,1.05,-0.04
316.0,-0.12,1.06,-0.03
368.0,-0.1,1.05,-0.05
420.0,-0.05,1.05,-0.05
473.0,-0.08,1.04,-0.03
524.0,-0.12,1.06,-0.02
576.0,-0.12,1.07,-0.03
628.0,-0.08,1.05,-0.06
680.0,-0.05,1.03,-0.05
732.0,-0.1,1.04,-0.04
784.0,-0.14,1.05,-0.02
836.0,-0.11,1.08,-0.05
888.0,-0.08,1.05,-0.04
941.0,-0.07,1.04,-0.05
992.0,-0.1,1.05,-0.04
1044.0,-0.14,1.06,-0.03
1097.0,-0.12,1.07,-0.04
1150.0,-0.06,1.06,-0.04
1204.0,-0.08,1.05,-0.05
1256.0,-0.14,1.05,-0.03
1309.0,-0.12,1.05,-0.04
1362.0,-0.08,1.06,-0.03
1416.0,-0.07,1.04,-0.04
1468.0,-0.09,1.05,-0.04
1521.0,-0.13,1.04,-0.04
1574.0,-0.11,1.06,-0.04
1628.0,-0.09,1.06,-0.04
1681.0,-0.07,1.06,-0.04
1733.0,-0.11,1.05,-0.05
1786.0,-0.11,1.05,-0.04
1840.0,-0.11,1.06,-0.04
1893.0,-0.07,1.07,-0.03
1946.0,-0.1,1.07,-0.04
1998.0,-0.11,1.06,-0.04
2052.0,-0.14,1.04,-0.04
2105.0,-0.08,1.05,-0.04
2158.0,-0.07,1.06,-0.04
2211.0,-0.07,1.05,-0.04
2264.0,-0.1,1.05,-0.04
2317.0,-0.13,1.05,-0.03
2370.0,-0.09,1.07,-0.04
2423.0,-0.07,1.05,-0.03
2477.0,-0.09,1.05,-0.05
2529.0,-0.12,1.05,-0.04
2582.0,-0.13,1.06,-0.03
2635.0,-0.11,1.06,-0.03
2689.0,-0.06,1.07,-0.03
2742.0,-0.11,1.05,-0.05
2794.0,-0.14,1.05,-0.03
2847.0,-0.12,1.05,-0.04
2900.0,-0.07,1.06,-0.02
2954.0,-0.07,1.06,-0.04
3007.0,-0.09,1.05,-0.04
3059.0,-0.13,1.03,-0.04
3112.0,-0.11,1.06,-0.03
3166.0,-0.07,1.06,-0.05
3219.0,-0.07,1.05,-0.04
3272.0,-0.12,1.05,-0.04
3324.0,-0.11,1.05,-0.04
3378.0,-0.11,1.07,-0.04
3431.0,-0.07,1.07,-0.05
3484.0,-0.06,1.06,-0.05
3537.0,-0.09,1.05,-0.04
3590.0,-0.14,1.06,-0.03
3643.0,-0.11,1.08,-0.04
3696.0,-0.07,1.05,-0.04
3749.0,-0.04,1.04,-0.04
3803.0,-0.1,1.05,-0.02
3855.0,-0.13,1.05,-0.02
3908.0,-0.11,1.07,-0.04
3961.0,-0.07,1.05,-0.05
4015.0,-0.07,1.04,-0.05
4068.0,-0.1,1.05,-0.03
4120.0,-0.12,1.07,-0.03
4173.0,-0.11,1.07,-0.04
4227.0,-0.05,1.05,-0.05
4280.0,-0.07,1.04,-0.04
4333.0,-0.11,1.05,-0.03
4385.0,-0.12,1.06,-0.03
4439.0,-0.07,1.06,-0.03
4492.0,-0.06,1.05,-0.05
4545.0,-0.08,1.04,-0.03
4598.0,-0.12,1.04,-0.04
4651.0,-0.11,1.06,-0.03
4704.0,-0.07,1.05,-0.05
4757.0,-0.07,1.05,-0.04
4810.0,-0.13,1.05,-0.04
4862.0,-0.12,1.05,-0.05
4916.0,-0.1,1.04,-0.04
4969.0,-0.07,1.06,-0.04
5022.0,-0.12,1.07,-0.04
5075.0,-0.09,1.07,-0.05
5128.0,-0.1,1.05,-0.04
5181.0,-0.12,1.05,-0.04
5234.0,-0.09,1.05,-0.06
5287.0,-0.06,1.04,-0.05
5341.0,-0.08,1.05,-0.02
5393.0,-0.13,1.07,-0.03
